,state_name,state_name_normalized,city_name,city_name_normalized,place_type,population:normalized,wikidata,centroid
6289,Illinois,illinois,Schiller Park,schiller_park,town,11709,Q2229136,POINT (-87.8708965 41.9558637)
6299,Illinois,illinois,Round Lake Beach,round_lake_beach,town,28283,Q2049990,POINT (-88.0900806 42.3716881)
6304,Illinois,illinois,Freeport,freeport,town,25254,Q202828,POINT (-89.6212271 42.2966861)
6305,Illinois,illinois,Lemont,lemont,town,17629,Q1589523,POINT (-88.0016263 41.6737149)
6307,Illinois,illinois,Brookfield,brookfield,town,18257,Q2486605,POINT (-87.848085 41.8228378)
6321,Illinois,illinois,Woodside,woodside,town,11447,Q2836227,POINT (-89.6789883 39.7200514)
6332,Illinois,illinois,Effingham,effingham,town,12447,Q577958,POINT (-88.54348 39.1201433)
6334,Illinois,illinois,Libertyville,libertyville,town,20579,Q1787181,POINT (-87.9531303 42.2830786)
6350,Illinois,illinois,Naperville,naperville,city,149540,Q243007,POINT (-88.1479278 41.7728699)
6352,Illinois,illinois,Villa Park,villa_park,town,22528,Q1863204,POINT (-87.9778368 41.8893116)
6353,Illinois,illinois,Crystal Lake,crystal_lake,town,40269,Q577478,POINT (-88.3161965 42.2411344)
6355,Illinois,illinois,Elmwood Park,elmwood_park,town,24521,Q1013490,POINT (-87.8160169 41.9205931)
6358,Illinois,illinois,Warrenville,warrenville,town,13193,Q576023,POINT (-88.174097 41.8179303)
6361,Illinois,illinois,Herrin,herrin,town,11835,Q577950,POINT (-89.0275744 37.8031056)
6364,Illinois,illinois,New Lenox,new_lenox,town,27214,Q2668887,POINT (-87.9656098 41.5119761)
6365,Illinois,illinois,Schaumburg,schaumburg,city,78723,Q988162,POINT (-88.083406 42.0333608)
6376,Illinois,illinois,Park Forest,park_forest,town,21687,Q949596,POINT (-87.6802344 41.4825788)
6377,Illinois,illinois,Swansea,swansea,town,14386,Q1641936,POINT (-89.9889936 38.5339392)
6378,Illinois,illinois,Elgin,elgin,city,114797,Q499887,POINT (-88.2810994 42.03726)
6381,Illinois,illinois,Country Club Hills,country_club_hills,town,16775,Q578589,POINT (-87.7203257 41.5680898)
6388,Illinois,illinois,Hoffman Estates,hoffman_estates,city,52530,Q1012388,POINT (-88.0792782 42.0427256)
6402,Illinois,illinois,River Grove,river_grove,town,10612,Q783421,POINT (-87.8358943 41.9258642)
6409,Illinois,illinois,O'Fallon,o'fallon,town,32289,Q577960,POINT (-89.9112124 38.5922715)
6433,Illinois,illinois,Bolingbrook,bolingbrook,city,73922,Q891359,POINT (-88.0717708 41.7003302)
6434,Illinois,illinois,Worth,worth,town,10970,Q1972787,POINT (-87.7974139 41.6899779)
6437,Illinois,illinois,McHenry,mchenry,town,27135,Q575578,POINT (-88.2674875 42.3431427)
6440,Illinois,illinois,Carpentersville,carpentersville,town,37397,Q1044751,POINT (-88.2578582 42.1211364)
6447,Illinois,illinois,East Peoria,east_peoria,town,22549,Q506116,POINT (-89.5800978 40.666149)
6448,Illinois,illinois,Zion,zion,town,24655,Q205332,POINT (-87.8337753 42.4501169)
6449,Illinois,illinois,Hanover Park,hanover_park,town,37470,Q391077,POINT (-88.1450735 41.9994722)
6453,Illinois,illinois,Palos Heights,palos_heights,town,12068,Q578625,POINT (-87.7962812 41.6681632)
6462,Illinois,illinois,Markham,markham,town,11661,Q579017,POINT (-87.6947699 41.5936453)
6472,Illinois,illinois,Oswego,oswego,town,34585,Q1923761,POINT (-88.3525714 41.6834778)
6477,Illinois,illinois,Westchester,westchester,town,16892,Q595299,POINT (-87.8820048 41.8505866)
6484,Illinois,illinois,Glenview,glenview,town,48705,Q1531184,POINT (-87.8114044 42.0700662)
6489,Illinois,illinois,Cary,cary,town,17826,Q2282347,POINT (-88.240021 42.2091163)
6491,Illinois,illinois,Bellwood,bellwood,town,18789,Q277068,POINT (-87.88319 41.8814184)
6492,Illinois,illinois,Arlington Heights,arlington_heights,city,77676,Q997132,POINT (-87.9802164 42.0811563)
6506,Illinois,illinois,Bartlett,bartlett,town,41105,Q287459,POINT (-88.1850028 41.9908485)
6510,Illinois,illinois,Rolling Meadows,rolling_meadows,town,24200,Q582006,POINT (-88.0131275 42.0841936)
6514,Illinois,illinois,Deerfield,deerfield,town,19196,Q287895,POINT (-87.8445119 42.1711365)
6521,Illinois,illinois,Chicago Heights,chicago_heights,town,26533,Q578277,POINT (-87.6357079 41.5062834)
6525,Illinois,illinois,Lockport,lockport,town,26094,Q575596,POINT (-88.057837 41.5894753)
6529,Illinois,illinois,Lombard,lombard,town,42792,Q404610,POINT (-88.0201536 41.8864687)
6530,Illinois,illinois,West Chicago,west_chicago,town,26738,Q580487,POINT (-88.2039607 41.8847507)
6534,Illinois,illinois,Justice,justice,town,12600,Q2456850,POINT (-87.8391876 41.7456772)
6535,Illinois,illinois,Carol Stream,carol_stream,town,40067,Q195144,POINT (-88.1347927 41.9125286)
6546,Illinois,illinois,South Elgin,south_elgin,town,23865,Q2579218,POINT (-88.2922996 41.9941938)
6550,Illinois,illinois,Evergreen Park,evergreen_park,town,19943,Q391071,POINT (-87.7013258 41.720136)
6556,Illinois,illinois,Fairview Heights,fairview_heights,town,16706,Q575199,POINT (-89.990382 38.5889386)
6557,Illinois,illinois,Batavia,batavia,town,26098,Q576876,POINT (-88.3125738 41.8500284)
6565,Illinois,illinois,Plano,plano,town,10856,Q575061,POINT (-88.5366814 41.662877)
6567,Illinois,illinois,Prospect Heights,prospect_heights,town,16058,Q576257,POINT (-87.9375694 42.0953049)
6570,Illinois,illinois,Troy,troy,town,10960,,POINT (-89.8831541 38.7292147)
6577,Illinois,illinois,Wauconda,wauconda,town,14084,Q2670246,POINT (-88.1392474 42.2589122)
6580,Illinois,illinois,South Holland,south_holland,town,20775,Q404614,POINT (-87.6069894 41.6008681)
6599,Illinois,illinois,Tinley Park,tinley_park,city,55971,Q1761214,POINT (-87.7844944 41.5733669)
6613,Illinois,illinois,Lincolnwood,lincolnwood,town,13463,Q2025535,POINT (-87.735572 42.0055985)
6616,Illinois,illinois,Carbondale,carbondale,town,24881,Q577511,POINT (-89.216655 37.7274692)
6625,Illinois,illinois,Homewood,homewood,town,19463,Q2134249,POINT (-87.6651467 41.5574046)
6630,Illinois,illinois,Calumet City,calumet_city,town,36033,Q577862,POINT (-87.5295837 41.616016)
6643,Illinois,illinois,Decatur,decatur,city,77047,Q506325,POINT (-88.9524151 39.8454163)
6646,Illinois,illinois,Danville,danville,town,32760,Q577334,POINT (-87.6304614 40.125222)
6647,Illinois,illinois,Melrose Park,melrose_park,town,24796,Q1020714,POINT (-87.8569745 41.900299)
6648,Illinois,illinois,Winnetka,winnetka,town,12475,Q1016595,POINT (-87.7365286 42.1080703)
6655,Illinois,illinois,Chatham,chatham,town,10039,Q1916590,POINT (-89.7045439 39.676163)
6660,Illinois,illinois,Lindenhurst,lindenhurst,town,14632,Q2671195,POINT (-88.0261911 42.4105765)
6669,Illinois,illinois,Yorkville,yorkville,town,23835,Q574900,POINT (-88.4472948 41.6411409)
6670,Illinois,illinois,Bensenville,bensenville,town,18813,Q277017,POINT (-87.9431781 41.9538384)
6672,Illinois,illinois,Kewanee,kewanee,town,12509,Q578989,POINT (-89.9248303 41.2455927)
6678,Illinois,illinois,Oak Lawn,oak_lawn,city,58362,Q1007947,POINT (-87.7581081 41.7108662)
6683,Illinois,illinois,Peoria,peoria,city,113150,Q233129,POINT (-89.5891008 40.6938609)
6685,Illinois,illinois,Glendale Heights,glendale_heights,town,33176,Q912145,POINT (-88.076567 41.9189531)
6688,Illinois,illinois,Rockford,rockford,city,148655,Q233892,POINT (-89.093966 42.2713945)
6697,Illinois,illinois,Edwardsville,edwardsville,town,26808,Q577939,POINT (-89.953157 38.8114364)
6701,Illinois,illinois,Channahon,channahon,town,13383,Q2672298,POINT (-88.2286735 41.4294753)
6704,Illinois,illinois,Streator,streator,town,13710,Q577816,POINT (-88.8357361 41.1210234)
6705,Illinois,illinois,Alsip,alsip,town,19063,Q2668403,POINT (-87.7387003 41.6689336)
6713,Illinois,illinois,North Chicago,north_chicago,town,30759,Q338720,POINT (-87.8394189 42.327724)
6717,Illinois,illinois,Oak Forest,oak_forest,town,27478,Q578535,POINT (-87.7439384 41.6028116)
6718,Illinois,illinois,Richton Park,richton_park,town,12775,Q2148211,POINT (-87.7090543 41.4845996)
6719,Illinois,illinois,Northlake,northlake,town,12840,Q578778,POINT (-87.8956185 41.9172526)
6728,Illinois,illinois,Elmhurst,elmhurst,town,45786,Q579542,POINT (-87.9403418 41.8994745)
6734,Illinois,illinois,Palatine,palatine,city,67908,Q998726,POINT (-88.0434304 42.1105502)
6736,Illinois,illinois,Dolton,dolton,town,21426,Q1236465,POINT (-87.607268 41.6389236)
6738,Illinois,illinois,Cicero,cicero,city,85268,Q578221,POINT (-87.7540199 41.8455398)
6739,Illinois,illinois,Streamwood,streamwood,town,39577,Q1446379,POINT (-88.1784085 42.0255827)
6747,Illinois,illinois,Bloomingdale,bloomingdale,town,21967,Q212086,POINT (-88.0809036 41.9575285)
6751,Illinois,illinois,Washington,washington,town,13365,Q575163,POINT (-89.4065113 40.7033988)
6752,Illinois,illinois,Wilmette,wilmette,town,28170,Q578301,POINT (-87.7115555 42.076066)
6755,Illinois,illinois,Morton,morton,town,16700,Q1641904,POINT (-89.459323 40.6127349)
6771,Illinois,illinois,Lansing,lansing,town,29076,Q2668483,POINT (-87.5381569 41.5662245)
6774,Illinois,illinois,Darien,darien,town,22011,Q578758,POINT (-87.9739593 41.7508713)
6784,Illinois,illinois,Franklin Park,franklin_park,town,18467,Q2671244,POINT (-87.865618 41.9353084)
6792,Illinois,illinois,Sterling,sterling,town,14782,Q578314,POINT (-89.6953656 41.788253)
6843,Illinois,illinois,Charleston,charleston,town,20182,Q577909,POINT (-88.1761521 39.4961458)
6846,Illinois,illinois,Taylorville,taylorville,town,11194,Q578486,POINT (-89.2941549 39.5487452)
6850,Illinois,illinois,Aurora,aurora,city,180542,Q22595,POINT (-88.3147539 41.7571701)
6855,Illinois,illinois,Palos Hills,palos_hills,town,18530,Q578549,POINT (-87.816924 41.6966397)
6858,Illinois,illinois,Addison,addison,town,35702,Q353080,POINT (-87.9889556 41.931696)
6861,Illinois,illinois,Morris,morris,town,13282,Q576304,POINT (-88.4215234 41.3574135)
6862,Illinois,illinois,Loves Park,loves_park,town,23996,Q578137,POINT (-89.0614954 42.3130746)
6864,Illinois,illinois,Lyons,lyons,town,10817,Q1857424,POINT (-87.8232695 41.811108)
6865,Illinois,illinois,Evanston,evanston,city,78110,Q462799,POINT (-87.6846053 42.0470043)
6866,Illinois,illinois,Matteson,matteson,town,19073,Q1998830,POINT (-87.739267 41.509832)
6867,Illinois,illinois,Dixon,dixon,town,15733,Q113602,POINT (-89.4814291 41.8425197)
6868,Illinois,illinois,Wheaton,wheaton,city,53970,Q575315,POINT (-88.1101709 41.8646959)
6871,Illinois,illinois,Bloomington,bloomington,city,76610,Q577802,POINT (-88.9939147 40.4797828)
6875,Illinois,illinois,Springfield,springfield,city,114394,Q28515,POINT (-89.6439575 39.7990175)
6878,Illinois,illinois,Wheeling,wheeling,town,39137,Q935043,POINT (-87.9310944 42.138889)
6879,Illinois,illinois,Orland Park,orland_park,city,57850,Q1013520,POINT (-87.8536288 41.630663)
6882,Illinois,illinois,Northbrook,northbrook,town,35222,Q570986,POINT (-87.8265089 42.128704)
6883,Illinois,illinois,Blue Island,blue_island,town,22558,Q577829,POINT (-87.679871 41.6573014)
6884,Illinois,illinois,Antioch,antioch,town,13491,Q520010,POINT (-88.0950691 42.4767131)
6885,Illinois,illinois,Campton Hills,campton_hills,town,11131,Q5028588,POINT (-88.3997579 41.9361328)
6888,Illinois,illinois,Pekin,pekin,town,31731,Q578328,POINT (-89.6501621 40.5687911)
6889,Illinois,illinois,DeKalb,dekalb,town,42559,Q580478,POINT (-88.7501925 41.9298644)
6895,Illinois,illinois,Glen Ellyn,glen_ellyn,town,28846,Q1530761,POINT (-88.073279 41.9104345)
6897,Illinois,illinois,Addison,addison,town,35702,Q353080,POINT (-88.00863408594749 41.93130399099493)
6900,Illinois,illinois,Saint Louis,saint_louis,city,301578,Q38022,POINT (-90.244930462653 38.636115385185235)
6920,Indiana,indiana,Indianapolis,indianapolis,city,882039,Q6346,POINT (-86.1583502 39.7683331)
6921,Indiana,indiana,Crown Point,crown_point,town,33899,Q957934,POINT (-87.3653136 41.4169806)
6922,Indiana,indiana,Shelbyville,shelbyville,town,18372,Q608120,POINT (-85.7769238 39.5214373)
6927,Indiana,indiana,Evansville,evansville,city,115738,Q486459,POINT (-87.5715641 37.970495)
6937,Indiana,indiana,Martinsville,martinsville,town,11791,Q1077102,POINT (-86.428328 39.4278253)
6939,Indiana,indiana,Peru,peru,town,12719,Q386657,POINT (-86.0690325 40.7537253)
6948,Indiana,indiana,Cedar Lake,cedar_lake,town,10211,Q2252920,POINT (-87.4411473 41.3647578)
6961,Indiana,indiana,West Lafayette,west_lafayette,town,44595,Q166481,POINT (-86.9080655 40.4258686)
6970,Indiana,indiana,Columbus,columbus,city,50474,Q941870,POINT (-85.9213796 39.2014405)
6973,Indiana,indiana,Mooresville,mooresville,town,11347,Q1623729,POINT (-86.37416 39.6128243)
6974,Indiana,indiana,Clarksville,clarksville,town,21308,Q2360005,POINT (-85.7602087 38.2967791)
6975,Indiana,indiana,Greencastle,greencastle,town,10085,Q1007911,POINT (-86.8647316 39.6444898)
6990,Indiana,indiana,South Bend,south_bend,city,103453,Q486877,POINT (-86.2500066 41.6833813)
6994,Indiana,indiana,Marion,marion,town,30528,Q286068,POINT (-85.6591442 40.5583739)
6995,Indiana,indiana,Seymour,seymour,town,19111,Q1998315,POINT (-85.8902547 38.9592201)
7002,Indiana,indiana,Huntington,huntington,town,16846,Q747545,POINT (-85.4964727 40.882353)
7006,Indiana,indiana,Portage,portage,town,37926,Q666957,POINT (-87.1761455 41.5758708)
7012,Indiana,indiana,Bedford,bedford,town,13581,Q1762823,POINT (-86.4872149 38.8611619)
7015,Indiana,indiana,Franklin,franklin,town,22356,Q983769,POINT (-86.0549863 39.4806056)
7022,Indiana,indiana,Lake Station,lake_station,town,13235,Q2087890,POINT (-87.2389246 41.5750369)
7027,Indiana,indiana,Schererville,schererville,town,29646,Q1018273,POINT (-87.4547605 41.4789246)
7041,Indiana,indiana,Muncie,muncie,city,65287,Q932981,POINT (-85.3865271 40.1936892)
7043,Indiana,indiana,Hobart,hobart,town,29752,Q1999235,POINT (-87.2550353 41.5322592)
7051,Indiana,indiana,Griffith,griffith,town,16331,Q591052,POINT (-87.4255305 41.534507)
7055,Indiana,indiana,Goshen,goshen,town,31882,Q1778812,POINT (-85.8344491 41.5850394)
7066,Indiana,indiana,Valparaiso,valparaiso,town,34151,Q868888,POINT (-87.0604487 41.4672552)
7080,Indiana,indiana,Vincennes,vincennes,town,17997,Q585857,POINT (-87.5286325 38.6772691)
7092,Indiana,indiana,Crawfordsville,crawfordsville,town,15150,Q986629,POINT (-86.8997385 40.0408627)
7096,Indiana,indiana,Frankfort,frankfort,town,16475,Q2018193,POINT (-86.5108244 40.2797657)
7101,Indiana,indiana,New Haven,new_haven,town,13678,Q748020,POINT (-85.0173125 41.0733059)
7104,Indiana,indiana,Jasper,jasper,town,16781,Q941441,POINT (-86.9308719 38.3914228)
7118,Indiana,indiana,Greensburg,greensburg,town,10538,Q2018766,POINT (-85.483581 39.3372722)
7131,Indiana,indiana,Washington,washington,town,11279,Q1999182,POINT (-87.172789 38.6592152)
7137,Indiana,indiana,Connersville,connersville,town,14213,Q532408,POINT (-85.1410748 39.6411589)
7140,Indiana,indiana,Anderson,anderson,city,57496,Q491461,POINT (-85.6802541 40.1053196)
7142,Indiana,indiana,Granger,granger,town,30337,Q2657932,POINT (-86.1108377 41.7533819)
7145,Indiana,indiana,Lawrence,lawrence,town,49357,Q1806779,POINT (-86.0252612 39.8386516)
7157,Indiana,indiana,Gary,gary,city,67555,Q184116,POINT (-87.3370646 41.6020962)
7175,Indiana,indiana,Fishers,fishers,city,104094,Q2284046,POINT (-86.0138729 39.9555928)
7176,Indiana,indiana,Lebanon,lebanon,town,16662,Q922352,POINT (-86.4691677 40.0483744)
7181,Indiana,indiana,Lafayette,lafayette,city,70783,Q638187,POINT (-86.8919011 40.4191229)
7192,Indiana,indiana,Auburn,auburn,town,12802,Q1075822,POINT (-85.0588632 41.3669902)
7206,Indiana,indiana,Bloomington,bloomington,city,69247,Q490385,POINT (-86.5342881 39.1670396)
7219,Indiana,indiana,Brownsburg,brownsburg,town,18850,Q991277,POINT (-86.3968962 39.8444409)
7223,Indiana,indiana,Speedway,speedway,town,12416,Q1000136,POINT (-86.2407144 39.7881233)
7236,Indiana,indiana,Plymouth,plymouth,town,11025,Q988952,POINT (-86.3097278 41.3436555)
7248,Indiana,indiana,East Chicago,east_chicago,town,26370,Q599694,POINT (-87.4548466 41.6397857)
7249,Indiana,indiana,New Albany,new_albany,town,36963,Q1762878,POINT (-85.8241312 38.2856247)
7252,Indiana,indiana,Merrillville,merrillville,town,36444,Q549140,POINT (-87.3328139 41.4828144)
7254,Indiana,indiana,Greenwood,greenwood,city,63830,Q1778780,POINT (-86.1095429 39.6136987)
7262,Indiana,indiana,Highland,highland,town,23984,Q932018,POINT (-87.4520484 41.5536529)
7278,Indiana,indiana,Plainfield,plainfield,town,24734,Q986631,POINT (-86.399477 39.703872)
7294,Indiana,indiana,Hammond,hammond,city,77879,Q856860,POINT (-87.5220108 41.6173959)
7295,Indiana,indiana,Avon,avon,town,12446,Q791269,POINT (-86.3997168 39.7628227)
7297,Indiana,indiana,Noblesville,noblesville,city,73916,Q1645069,POINT (-86.0139854 40.0460881)
7302,Indiana,indiana,Beech Grove,beech_grove,town,14082,Q2018240,POINT (-86.0894158 39.7221906)
7303,Indiana,indiana,La Porte,la_porte,town,22471,Q2018808,POINT (-86.7225227 41.6105983)
7317,Indiana,indiana,Munster,munster,town,23894,Q973519,POINT (-87.5125412 41.5644798)
7319,Indiana,indiana,Madison,madison,town,12575,Q990883,POINT (-85.3799577 38.7358933)
7323,Indiana,indiana,Mishawaka,mishawaka,city,51063,Q990691,POINT (-86.1807031 41.6611642)
7325,Indiana,indiana,Warsaw,warsaw,town,13082,Q992560,POINT (-85.8530544 41.2381017)
7334,Indiana,indiana,Greenfield,greenfield,town,17453,Q616236,POINT (-85.7681979 39.7855096)
7348,Indiana,indiana,Jeffersonville,jeffersonville,town,49450,Q977206,POINT (-85.7371604 38.2770227)
7352,Indiana,indiana,Kokomo,kokomo,city,57000,Q913209,POINT (-86.1336351 40.4864444)
7356,Indiana,indiana,Zionsville,zionsville,town,30693,Q971153,POINT (-86.2616968 39.950724)
7359,Indiana,indiana,Terre Haute,terre_haute,city,57259,Q492478,POINT (-87.4139119 39.4667025)
7364,Indiana,indiana,Wabash,wabash,town,11108,Q989967,POINT (-85.8205411 40.797821)
7365,Indiana,indiana,Carmel,carmel,city,102296,Q537853,POINT (-86.1283681 39.9784186)
7373,Indiana,indiana,New Castle,new_castle,town,18663,Q985283,POINT (-85.3702477 39.9289351)
7382,Indiana,indiana,Chesterton,chesterton,town,14241,Q3292506,POINT (-87.0522661 41.6107243)
7383,Indiana,indiana,Logansport,logansport,town,18366,Q1075847,POINT (-86.3625191 40.7542375)
7385,Indiana,indiana,Fort Wayne,fort_wayne,city,248637,Q49268,POINT (-85.1386015 41.0799898)
7388,Indiana,indiana,Westfield,westfield,city,58410,Q1012128,POINT (-86.1274888 40.0428151)
7413,Indiana,indiana,St. John,st._john,town,20303,Q3287753,POINT (-87.4700381 41.4500356)
7421,Indiana,indiana,Kendallville,kendallville,town,10199,Q3240325,POINT (-85.2649754 41.4414385)
7429,Indiana,indiana,Michigan City,michigan_city,town,32075,Q989282,POINT (-86.8950297 41.7075394)
7439,Indiana,indiana,Elkhart,elkhart,city,53923,Q2008706,POINT (-85.9766671 41.6819935)
7489,Indiana,indiana,Richmond,richmond,town,36812,Q548664,POINT (-84.8898521 39.8286897)
7550,Indiana,indiana,Henderson,henderson,town,27952,Q734134,POINT (-87.5792092413291 37.84012070376128)
7559,Iowa,iowa,Des Moines,des_moines,city,214133,Q39709,POINT (-93.6249494 41.5868654)
7567,Iowa,iowa,Dubuque,dubuque,city,59667,Q493794,POINT (-90.6647985 42.5006243)
7568,Iowa,iowa,Newton,newton,town,15760,Q1657507,POINT (-93.0538852 41.6997139)
7572,Iowa,iowa,Coralville,coralville,town,22318,Q1913878,POINT (-91.580705 41.6759977)
7596,Iowa,iowa,Fort Madison,fort_madison,town,10270,Q986316,POINT (-91.3084007 40.6311415)
7629,Iowa,iowa,Burlington,burlington,town,23982,Q580182,POINT (-91.1020205 40.8126922)
7635,Iowa,iowa,Muscatine,muscatine,town,23797,Q955896,POINT (-91.0436508 41.4246132)
7648,Iowa,iowa,Mason City,mason_city,town,27338,Q1444028,POINT (-93.2017941 43.1524574)
7667,Iowa,iowa,West Des Moines,west_des_moines,city,68723,Q923861,POINT (-93.7594059 41.5644476)
7678,Iowa,iowa,Boone,boone,town,12460,Q1898112,POINT (-93.8802202 42.0596994)
7747,Iowa,iowa,Cedar Falls,cedar_falls,town,40713,Q582212,POINT (-92.447758 42.5361805)
7756,Iowa,iowa,Urbandale,urbandale,town,45580,Q985556,POINT (-93.7380243 41.6274511)
7771,Iowa,iowa,North Liberty,north_liberty,town,20479,Q1913915,POINT (-91.6064397 41.7478297)
7784,Iowa,iowa,Grimes,grimes,town,15392,Q1903348,POINT (-93.7910575 41.6883214)
7817,Iowa,iowa,Pella,pella,town,10464,Q1778791,POINT (-92.9174074 41.4073138)
7819,Iowa,iowa,Clive,clive,town,18601,Q1871106,POINT (-93.7754644 41.6096559)
7863,Iowa,iowa,Carroll,carroll,town,10321,Q1903180,POINT (-94.8666108 42.0651109)
